word,neg_docs_with_word,pos_docs_with_word,neg_docs_without_word,pos_docs_without_word,neg_rate,pos_rate,doc_freq_total,odds_ratio_neg_vs_pos,log2_odds_neg_vs_pos,chi_square_df1,p_value,n_negative_docs,n_positive_docs,favours,p_value_fdr_bh,significant_5pct
bad,249,225,1208,8108,0.17089910775566233,0.027001080043201727,474,7.423656527534546,2.892129962420531,557.3724350614559,3.134766121117013e-123,1457,8333,negative,8.357286478897958e-120,True
refund,55,6,1402,8327,0.03774879890185312,0.0007200288011520461,61,50.69806663924311,5.663858826274572,274.614940628952,1.1197832758427028e-61,1457,8333,negative,1.492671106698323e-58,True
needs,105,87,1352,8246,0.0720658888126287,0.010440417616704669,192,7.351514127277528,2.878041419873593,244.95265836786504,3.272275210958003e-55,1457,8333,negative,2.9079619041380122e-52,True
boring,91,63,1366,8270,0.06245710363761153,0.007560302412096484,154,8.721064504697615,3.124504243020121,241.39050979062318,1.9566623985178608e-54,1457,8333,negative,1.3041154886121542e-51,True
waste,63,26,1394,8307,0.043239533287577216,0.0031201248049922,89,14.275117205734118,3.8354306857600484,221.58795861257482,4.0739421564772007e-50,1457,8333,negative,2.1722259578336435e-47,True
unplayable,34,0,1423,8333,0.023335621139327384,0.0,34,403.94204425711274,8.658004506363842,195.13341595323985,2.4093147323839627e-44,1457,8333,negative,1.070538846089274e-41,True
awful,41,7,1416,8326,0.028140013726835965,0.0008400336013440538,48,32.5261560183551,5.023528427843046,189.44315790417747,4.206089963136917e-43,1457,8333,negative,1.6019194059604314e-40,True
tried,81,68,1376,8265,0.055593685655456415,0.008160326413056522,149,7.144304421719107,2.8367935555917474,186.16714529863958,2.1827514801577155e-42,1457,8333,negative,7.274019307625587e-40,True
poorly,38,7,1419,8326,0.02608098833218943,0.0008400336013440538,45,30.11109545614653,4.91222328984473,172.687468892728,1.9152378934871747e-39,1457,8333,negative,5.673360248929786e-37,True
positive,67,56,1390,8277,0.04598490048043926,0.00672026881075243,123,7.111865280522381,2.830227995573318,154.1167531657669,2.183804498544612e-35,1457,8333,negative,5.822022793119935e-33,True
price,162,305,1295,8028,0.11118737131091283,0.03660146405856234,467,3.296394228795257,1.72088879043281,151.8744136348606,6.749535864546697e-35,1457,8333,negative,1.6358420558983173e-32,True
trash,44,20,1413,8313,0.030199039121482498,0.0024000960038401535,64,12.767158152656872,3.674365525539868,147.56588131750186,5.902395560424929e-34,1457,8333,negative,1.3113155470077385e-31,True
terrible,39,14,1418,8319,0.026767330130404943,0.0016800672026881075,53,15.977064164428183,3.9979304277752106,144.9603232370717,2.1909642254204595e-33,1457,8333,negative,4.49316201920842e-31,True
felt,121,193,1336,8140,0.08304735758407687,0.023160926437057482,314,3.824524312896406,1.9352803192818457,143.26687585748675,5.13901811070938e-33,1457,8333,negative,9.786158773679434e-31,True
happening,48,28,1409,8305,0.032944406314344546,0.003360134405376215,76,10.027613375403746,3.3259063727035163,140.91385783149804,1.6802683193506463e-32,1457,8333,negative,2.986396892925882e-30,True
unless,49,31,1408,8302,0.033630748112560054,0.003720148805952238,80,9.262893655864902,3.211462950594833,136.89407081993488,1.2719247749563307e-31,1457,8333,negative,2.119344656270986e-29,True
sadly,38,15,1419,8318,0.02608098833218943,0.0018000720028801152,53,14.555886329807178,3.8635307848932507,135.7915453028191,2.216169089488084e-31,1457,8333,negative,3.4754745838677835e-29,True
either,89,116,1368,8217,0.06108442004118051,0.013920556822272891,205,4.6130909912014815,2.2057337492126923,134.5601273587374,4.120518149808299e-31,1457,8333,negative,5.951826641464813e-29,True
sorry,46,27,1411,8306,0.031571722717913524,0.0032401296051842074,73,9.950787363539755,3.3148106845037755,134.50256129153288,4.241736916272748e-31,1457,8333,negative,5.951826641464813e-29,True
idea,98,141,1359,8192,0.06726149622512011,0.016920676827073083,239,4.194855726681889,2.0686211930298564,131.9585212000494,1.5277825243082844e-30,1457,8333,negative,2.036534104902943e-28,True
dudes,24,1,1433,8332,0.016472203157172273,0.00012000480019200768,25,94.94070456923613,6.568954851151139,130.19180924060265,3.720334651469721e-30,1457,8333,negative,4.7230534194372745e-28,True
generally,45,27,1412,8306,0.03088538091969801,0.0032401296051842074,72,9.72989863234111,3.282424774854221,129.83007826590924,4.4640197400991615e-30,1457,8333,negative,5.409580285047438e-28,True
